"zip_code","lat","lon"
"00103",34.2386,-118.5552
"00208",33.0214,-97.2823
"00209",36.8819,-76.2003
"00501",40.8167,-73.045
"00544",40.8172,-73.0451
"00586",18.3436,-67.0284
"00601",18.1585,-66.7188
"00602",18.3806,-67.1899
"00603",18.449,-67.1379
"00604",18.4938,-67.1474
"00605",18.445,-67.1413
"00606",18.1812,-66.9801
"00607",18.4572,-66.0722
"00609",18.1405,-66.2708
"00610",18.2821,-67.1484
"00611",18.2971,-66.8239
"00612",18.4676,-66.7179
"00613",18.4676,-66.7179
"00614",18.4586,-66.7373
"00615",17.9641,-66.0631
"00616",18.4436,-66.6829
"00617",18.4389,-66.552
"00618",18.185,-66.3084
"00622",18.0271,-67.1723
"00623",18.0784,-67.1545
"00624",18.0537,-66.7216
"00626",18.4097,-66.2613
"00627",18.4767,-66.8505
"00628",18.4526,-66.8859
"00631",18.2142,-66.8666
"00634",18.097,-66.2479
"00635",18.2199,-65.6434
"00636",18.2011,-67.1395
"00637",18.0735,-66.9578
"00638",18.3172,-66.4708
"00639",18.4291,-66.3723
"00641",18.2605,-66.7035
"00642",18.216,-66.228
"00646",18.4482,-66.2766
"00647",17.9651,-66.9392
"00650",18.3647,-66.5686
"00652",18.451,-66.6155
"00653",17.9715,-66.9079
"00654",18.2124,-66.5943
"00656",18.0239,-66.7898
"00657",18.4001,-66.1079
"00658",18.2548,-65.9697
"00659",18.4834,-66.8075
"00660",18.1406,-67.1223
"00662",18.4875,-67.0238
"00663",18.4523,-67.0216
"00664",18.2179,-66.5928
"00665",18.4915,-67.0274
"00666",18.227,-65.9195
"00667",18.0476,-67.0592
"00669",18.2952,-66.8817
"00670",18.253,-66.9936
"00671",18.1852,-65.8682
"00673",18.3744,-65.7145
"00674",18.4332,-66.4814
"00675",18.4675,-66.9178
"00676",18.3945,-67.1142
"00677",18.3391,-67.2488
"00678",18.4726,-66.9375
"00679",18.1006,-66.3367
"00680",18.1883,-67.1395
"00681",18.2062,-67.1513
"00682",18.2067,-67.1495
"00683",18.0815,-67.0375
"00685",18.3357,-66.9929
"00687",18.3363,-66.417
"00688",18.3743,-66.5911
"00690",18.4939,-67.095
"00692",18.4187,-66.3262
"00693",18.4547,-66.4072
"00694",18.4443,-66.3947
"00695",18.427,-66.1111
"00696",18.45,-66.3073
"00698",18.0297,-66.8562
"00701",18.4273,-66.4905
"00703",18.2603,-66.1038
"00704",17.9736,-66.2282
"00705",18.1391,-66.2674
"00706",18.2801,-66.1021
"00707",18.0071,-65.8989
"00708",18.0381,-66.5832
"00709",18.2044,-67.1449
"00712",18.0032,-66.6109
"00714",17.9721,-66.0577
